90;58700;3
18;58702;0
92;58703;7
76;54466;3
4;58510;7
62;58508;5
96;58222;9
48;58223;9
86;58224;9
60;58226;7
32;58228;2
31;56132;4
30;58314;4
58;58315;1
7;58332;9
67;54810;2
57;58334;0
25;58408;3
69;58701;8
60;59450;3
80;58450;8
6;53684;2
41;54586;4
55;56722;5
71;58830;0
52;58832;10
9;56828;10
93;58864;4
38;54213;1
67;59114;4
5;59115;3
78;59116;15
30;59117;8
22;59118;10
72;51376;13
56;59119;3
23;59229;9
45;59231;11
30;57940;0
87;58829;15
44;58813;15
55;58800;7
69;57642;2
47;54351;6
84;58707;4
74;58708;0
12;58709;3
19;58710;1
2;58711;5
55;58723;5
63;58773;1
95;58774;6
88;58775;0
39;58776;0
24;58777;7
86;58778;3
73;54252;12
13;56494;3
86;58206;10
31;58211;3
86;58209;8
55;58145;4
60;58178;10
41;58179;9
24;58198;3
62;58193;5
86;58195;3
66;58196;6
61;58197;2
44;58201;2
47;58203;5
78;58204;11
14;58199;7
74;58132;18
45;54585;3
36;54645;2
32;54644;4
22;58075;10
73;56860;0
22;58076;11
68;58225;3
14;54584;10
38;54582;11
78;58115;9
15;58220;11
42;54647;2
73;59383;2
63;59326;13
82;59325;5
69;59390;5
16;59323;4
56;59391;18
57;59321;7
56;59324;4
90;59397;14
36;59398;11
16;59399;3
94;59388;5
88;59386;6
31;59355;3
16;59354;7
62;59353;0
6;59352;2
42;59351;10
69;59374;2
30;59378;11
67;59379;11
82;59381;6
77;59382;4
54;59400;11
53;59506;10
35;58143;7
69;59282;11
67;59320;11
31;59435;3
25;59281;9
66;59350;2
64;59370;8
6;51079;4
26;55431;6
62;55430;14
8;47379;11
46;58077;7
32;55894;10
45;58991;7
54;55266;10
52;55265;11
48;50002;2
56;57172;2
20;46186;7
33;44907;11
18;54765;9
3;49154;10
40;45783;4
84;48467;5
74;52316;7
3;52455;7
74;52341;11
15;57405;7
70;50178;9
3;51560;3
22;36084;3
95;47860;4
93;36085;8
8;56012;1
56;40718;7
44;36087;3
64;33313;8
46;36474;11
13;47779;3
27;30191;9
18;49734;7
44;42165;9
44;43832;10
10;52391;5
81;28207;4
59;40810;10
66;39622;1
93;53586;9
95;56085;9
68;44104;16
32;52901;7
77;54673;7
32;43609;11
26;36380;7
57;54439;22
95;54440;5
29;59469;0
53;58514;5
50;58512;10
3;35541;3
27;55068;7
85;49386;15
79;57028;2
71;58627;0
24;49724;6
29;57229;1
77;55811;12
17;52180;1
53;49924;10
52;54321;0
29;49927;1
48;50733;2
60;53688;19
40;53991;5
63;42039;1
16;54411;4
91;56363;11
58;57119;19
48;57091;9
46;56366;10
74;58516;0
28;46165;10
2;57086;0
23;47005;6
66;54404;6
65;52867;1
26;45065;5
67;52888;0
81;44435;14
13;52812;9
54;42042;11
86;45066;11
94;52949;3
73;52819;11
21;47231;8
11;54512;11
94;48991;9
82;51799;2
38;41644;10
12;55023;15
7;52491;7
86;49144;8
2;52739;3
60;56825;6
95;53312;11
17;53313;7
39;52586;9
3;54714;2
89;53757;6
56;52974;10
73;54409;2
79;54320;3
16;55220;6
37;56501;1
63;58333;11
10;54008;4
29;57408;12
22;50018;0
67;52088;7
32;54006;7
36;52790;3
22;48913;1
39;52515;16
15;50718;7
61;52189;5
95;54007;8
95;52141;3
16;54074;14
36;54999;10
21;52188;7
75;51660;5
95;51658;10
94;59364;3
8;55817;3
23;43281;10
79;43800;1
50;59173;4
93;46280;2
52;51744;1
33;58511;1
86;57945;3
26;56445;1
29;56432;8
93;59345;7
35;56444;11
13;55076;13
22;57948;10
57;34517;1
27;59493;14
83;59492;0
77;40053;11
90;44113;8
16;40540;5
84;29653;11
46;32832;9
67;24355;7
38;36072;8
29;29661;0
21;35908;5
90;29641;7
10;51409;9
84;38916;5
88;29613;11
34;44391;9
58;46757;9
51;38134;11
68;35728;0
26;29678;0
66;36388;2
50;38121;3
23;36073;2
92;49941;2
48;49940;1
15;56578;2
82;59489;11
90;59490;7
55;48010;7
34;57027;11
